Date,Symbol,Open,High,Low,Close
2021-12-01,WTL,2.12,2.22,2.12,2.19
2021-12-01,WTL,2.12,2.22,2.12,2.19
2021-12-02,WTL,2.25,2.25,1.95,2.01
2021-12-02,WTL,2.25,2.25,1.95,2.01
2021-12-03,WTL,2.01,2.14,1.95,2.05
2021-12-03,WTL,2.01,2.14,1.95,2.05
2021-12-06,WTL,2.1,2.1,1.92,1.96
2021-12-06,WTL,2.1,2.1,1.92,1.96
2021-12-07,WTL,1.98,2.06,1.98,2.05
2021-12-07,WTL,1.98,2.06,1.98,2.05
2021-12-08,WTL,2.08,2.12,2.03,2.05
2021-12-08,WTL,2.08,2.12,2.03,2.05
2021-12-09,WTL,2.05,2.09,1.95,1.99
2021-12-09,WTL,2.05,2.09,1.95,1.99
2021-12-10,WTL,1.96,1.99,1.83,1.88
2021-12-10,WTL,1.96,1.99,1.83,1.88
2021-12-13,WTL,1.9,1.92,1.68,1.7
2021-12-13,WTL,1.9,1.92,1.68,1.7
2021-12-14,WTL,1.7,1.84,1.59,1.8
2021-12-14,WTL,1.7,1.84,1.59,1.8
2021-12-15,WTL,1.88,2.28,1.86,2.2
2021-12-15,WTL,1.88,2.28,1.86,2.2
2021-12-16,WTL,2.22,2.29,2.13,2.21
2021-12-16,WTL,2.22,2.29,2.13,2.21
2021-12-17,WTL,2.2,2.25,2.12,2.15
2021-12-17,WTL,2.2,2.25,2.12,2.15
2021-12-20,WTL,2.15,2.22,2.13,2.19
2021-12-20,WTL,2.15,2.22,2.13,2.19
2021-12-21,WTL,2.22,2.23,2.11,2.12
2021-12-21,WTL,2.22,2.23,2.11,2.12
2021-12-22,WTL,2.12,2.16,2.08,2.1
2021-12-22,WTL,2.12,2.16,2.08,2.1
2021-12-23,WTL,2.1,2.15,2.06,2.11
2021-12-23,WTL,2.1,2.15,2.06,2.11
2021-12-24,WTL,2.14,2.14,2.04,2.05
2021-12-24,WTL,2.14,2.14,2.04,2.05
2021-12-27,WTL,2.08,2.09,2.02,2.03
2021-12-27,WTL,2.08,2.09,2.02,2.03
2021-12-28,WTL,2.01,2.06,2.01,2.03
2021-12-28,WTL,2.01,2.06,2.01,2.03
2021-12-29,WTL,2.05,2.07,2.01,2.05
2021-12-29,WTL,2.05,2.07,2.01,2.05
2021-12-30,WTL,2.11,2.14,2.06,2.07
2021-12-30,WTL,2.11,2.14,2.06,2.07
2021-12-31,WTL,2.07,2.18,2.04,2.08
2021-12-31,WTL,2.07,2.18,2.04,2.08
2022-01-03,WTL,2.08,2.13,2.05,2.07
2022-01-04,WTL,2.06,2.21,2.06,2.17
2022-01-05,WTL,2.18,2.4,2.15,2.36
2022-01-06,WTL,2.36,2.47,2.24,2.26
2022-01-07,WTL,2.25,2.3,2.21,2.28
2022-01-10,WTL,2.28,2.34,2.25,2.32
2022-01-11,WTL,2.35,2.44,2.35,2.43
2022-01-12,WTL,2.46,2.68,2.46,2.53
2022-01-13,WTL,2.54,2.63,2.48,2.53
2022-01-14,WTL,2.55,2.58,2.44,2.47
2022-01-17,WTL,2.48,2.5,2.35,2.37
2022-01-18,WTL,2.39,2.42,2.32,2.34
2022-01-19,WTL,2.36,2.36,2.13,2.16
2022-01-20,WTL,2.16,2.2,2.03,2.18
2022-01-21,WTL,2.21,2.25,2.16,2.17
2022-01-24,WTL,2.18,2.18,2.1,2.16
2022-01-25,WTL,2.17,2.25,2.16,2.17
2022-01-26,WTL,2.18,2.18,2.12,2.14
2022-01-27,WTL,2.16,2.21,2.13,2.18
2022-01-28,WTL,2.16,2.26,2.15,2.21
2022-01-31,WTL,2.21,2.27,2.21,2.24
2022-03-01,WTL,1.89,1.99,1.85,1.96
2022-03-01,WTL,1.89,1.99,1.85,1.96
2022-03-02,WTL,1.93,1.93,1.85,1.9
2022-03-02,WTL,1.93,1.93,1.85,1.9
2022-03-03,WTL,1.9,1.93,1.84,1.86
2022-03-03,WTL,1.9,1.93,1.84,1.86
2022-03-04,WTL,1.87,1.88,1.81,1.83
2022-03-04,WTL,1.87,1.88,1.81,1.83
2022-03-07,WTL,1.78,1.83,1.67,1.75
2022-03-07,WTL,1.78,1.83,1.67,1.75
2022-03-08,WTL,1.74,1.79,1.68,1.69
2022-03-08,WTL,1.74,1.79,1.68,1.69
2022-03-09,WTL,1.67,1.72,1.66,1.7
2022-03-09,WTL,1.67,1.72,1.66,1.7
2022-03-10,WTL,1.78,1.8,1.63,1.69
2022-03-10,WTL,1.78,1.8,1.63,1.69
2022-03-11,WTL,1.7,1.74,1.66,1.69
2022-03-11,WTL,1.7,1.74,1.66,1.69
2022-03-14,WTL,1.65,1.7,1.65,1.67
2022-03-14,WTL,1.65,1.7,1.65,1.67
2022-03-15,WTL,1.7,1.72,1.66,1.68
2022-03-15,WTL,1.7,1.72,1.66,1.68
2022-03-16,WTL,1.69,1.71,1.64,1.65
2022-03-16,WTL,1.69,1.71,1.64,1.65
2022-03-17,WTL,1.69,1.69,1.54,1.57
2022-03-17,WTL,1.69,1.69,1.54,1.57
2022-03-18,WTL,1.57,1.57,1.47,1.5
2022-03-18,WTL,1.57,1.57,1.47,1.5
2022-03-21,WTL,1.5,1.51,1.44,1.47
2022-03-21,WTL,1.5,1.51,1.44,1.47
2022-03-22,WTL,1.5,1.57,1.48,1.52
2022-03-22,WTL,1.5,1.57,1.48,1.52
2022-03-24,WTL,1.55,1.56,1.49,1.54
2022-03-24,WTL,1.55,1.56,1.49,1.54
2022-03-25,WTL,1.53,1.63,1.52,1.56
